domain,seed,mode,accuracy,hallucination,consistency,final_note_len
linear_regression,42,no_note,0.8,0.8,0.0,0
linear_regression,42,note,0.8,0.8,0.8,925
linear_regression,42,note+revise,0.8,0.8,0.8,255
linear_regression,123,no_note,0.8,0.8,0.0,0
linear_regression,123,note,0.8,0.8,0.8,925
linear_regression,123,note+revise,0.8,0.8,0.8,255
linear_regression,2025,no_note,0.8,0.8,0.0,0
linear_regression,2025,note,0.8,0.8,0.8,925
linear_regression,2025,note+revise,0.8,0.8,0.8,255
sentiment,42,no_note,0.8,1.0,0.0,0
sentiment,42,note,0.8,1.0,1.0,1249
sentiment,42,note+revise,0.8,1.0,1.0,249
sentiment,123,no_note,0.8,1.0,0.0,0
sentiment,123,note,0.8,1.0,1.0,1249
sentiment,123,note+revise,0.8,1.0,1.0,249
sentiment,2025,no_note,0.8,1.0,0.0,0
sentiment,2025,note,0.8,1.0,1.0,1249
sentiment,2025,note+revise,0.8,1.0,1.0,249
qa,42,no_note,1.0,1.0,0.0,0
qa,42,note,1.0,1.0,0.8,1089
qa,42,note+revise,1.0,1.0,0.8,261
qa,123,no_note,1.0,1.0,0.0,0
qa,123,note,1.0,1.0,0.8,1089
qa,123,note+revise,1.0,1.0,0.8,261
qa,2025,no_note,1.0,1.0,0.0,0
qa,2025,note,1.0,1.0,0.8,1089
qa,2025,note+revise,1.0,1.0,0.8,261
math,42,no_note,0.8,1.0,0.0,0
math,42,note,0.8,1.0,0.4,964
math,42,note+revise,0.8,1.0,0.4,192
math,123,no_note,0.8,1.0,0.0,0
math,123,note,0.8,1.0,0.4,964
math,123,note+revise,0.8,1.0,0.4,192
math,2025,no_note,0.8,1.0,0.0,0
math,2025,note,0.8,1.0,0.4,964
math,2025,note+revise,0.8,1.0,0.4,192
