domain,seed,mode,acc,abstain_rate,halluc_rate,consistency,note_len,compress_ratio
linear_regression,42,no_note,0.0,1.0,0.0,0.0,0,0.0
linear_regression,42,note,0.8,0.2,0.0,0.8,1200,1.0
linear_regression,42,note+revise,0.8,0.2,0.0,0.8,270,0.225
linear_regression,123,no_note,0.0,1.0,0.0,0.0,0,0.0
linear_regression,123,note,0.8,0.2,0.0,0.8,1200,1.0
linear_regression,123,note+revise,0.8,0.2,0.0,0.8,270,0.225
linear_regression,2025,no_note,0.0,1.0,0.0,0.0,0,0.0
linear_regression,2025,note,0.8,0.2,0.0,0.8,1200,1.0
linear_regression,2025,note+revise,0.8,0.2,0.0,0.8,270,0.225
sentiment,42,no_note,0.0,1.0,0.0,0.0,0,0.0
sentiment,42,note,1.0,0.0,0.0,1.0,1200,1.0
sentiment,42,note+revise,1.0,0.0,0.0,1.0,340,0.2833333333333333
sentiment,123,no_note,0.0,1.0,0.0,0.0,0,0.0
sentiment,123,note,1.0,0.0,0.0,1.0,1200,1.0
sentiment,123,note+revise,1.0,0.0,0.0,1.0,340,0.2833333333333333
sentiment,2025,no_note,0.0,1.0,0.0,0.0,0,0.0
sentiment,2025,note,1.0,0.0,0.0,1.0,1200,1.0
sentiment,2025,note+revise,1.0,0.0,0.0,1.0,340,0.2833333333333333
qa,42,no_note,0.0,1.0,0.0,0.0,0,0.0
qa,42,note,1.0,0.0,0.0,0.8,1200,1.0
qa,42,note+revise,1.0,0.0,0.0,0.8,315,0.2625
qa,123,no_note,0.0,1.0,0.0,0.0,0,0.0
qa,123,note,1.0,0.0,0.0,0.8,1200,1.0
qa,123,note+revise,1.0,0.0,0.0,0.8,315,0.2625
qa,2025,no_note,0.0,1.0,0.0,0.0,0,0.0
qa,2025,note,1.0,0.0,0.0,0.8,1200,1.0
qa,2025,note+revise,1.0,0.0,0.0,0.8,315,0.2625
math,42,no_note,0.0,1.0,0.0,0.0,0,0.0
math,42,note,0.8,0.0,0.2,0.4,1200,1.0
math,42,note+revise,0.8,0.0,0.2,0.4,306,0.255
math,123,no_note,0.0,1.0,0.0,0.0,0,0.0
math,123,note,0.8,0.0,0.2,0.4,1200,1.0
math,123,note+revise,0.8,0.0,0.2,0.4,306,0.255
math,2025,no_note,0.0,1.0,0.0,0.0,0,0.0
math,2025,note,0.8,0.0,0.2,0.4,1200,1.0
math,2025,note+revise,0.8,0.0,0.2,0.4,306,0.255
