domain,mode,accuracy,consistency,hallucination,abstain,LearningScore,LearningScore_norm,LearningScore_abst,LearningScore_abst_norm,note_len,note_selfc,rel_note_len,compression_gain,note_ansb
linear_regression,full,0.8,1.0000000000000002,0.0,0.2,1.8,0.9333333333333333,1.6,0.9,650.0,0.6893203883495146,2.3636363636363638,1.0107692307692309,1.0
linear_regression,no_child,0.6,0.8000000000000003,0.2,0.2,1.2,0.7333333333333333,1.0,0.75,564.0,0.7111111111111111,2.050909090909091,1.0,1.0
linear_regression,no_memory,0.8,1.0000000000000002,0.0,0.2,1.8,0.9333333333333333,1.6,0.9,650.0,0.6893203883495146,2.3636363636363638,1.0107692307692309,1.0
linear_regression,no_mistake,0.8,0.8000000000000003,0.2,0.0,1.4,0.8,1.4,0.85,643.0,0.68,2.3381818181818184,1.0,1.0
linear_regression,no_revision,0.6,1.0000000000000002,0.0,0.4,1.6,0.8666666666666667,1.2,0.8,702.0,0.7090909090909091,2.5527272727272727,1.0,1.0
linear_regression,no_steps,0.0,1.0000000000000002,0.0,1.0,1.0000000000000002,0.6666666666666666,2.220446049250313e-16,0.5,336.0,0.8363636363636363,1.221818181818182,1.0,1.0
math,full,0.8,0.6,0.2,0.0,1.2,0.7333333333333333,1.2,0.8,594.0,0.717391304347826,6.827586206896552,1.0,1.0
math,no_child,0.6,0.4,0.4,0.0,0.6,0.5333333333333333,0.6,0.65,501.0,0.7435897435897435,5.758620689655173,1.0,1.0
math,no_memory,0.8,0.6,0.2,0.0,1.2,0.7333333333333333,1.2,0.8,594.0,0.717391304347826,6.827586206896552,1.0,1.0
math,no_mistake,0.8,0.6,0.2,0.0,1.2,0.7333333333333333,1.2,0.8,580.0,0.7045454545454546,6.666666666666667,1.0,1.0
math,no_revision,0.6,0.6,0.2,0.2,1.0,0.6666666666666666,0.8,0.7,639.0,0.7346938775510204,7.344827586206898,1.0,1.0
math,no_steps,0.0,1.0000000000000002,0.0,1.0,1.0000000000000002,0.6666666666666666,2.220446049250313e-16,0.5,273.0,0.8372093023255814,3.1379310344827585,1.0,0.0
qa,full,1.0,0.8000000000000002,0.0,0.4,1.8,0.9333333333333333,1.4,0.85,594.0,0.717391304347826,6.0,1.0,1.0
qa,no_child,0.8,0.6000000000000001,0.2,0.4,1.2,0.7333333333333333,0.8,0.7,501.0,0.7435897435897435,5.0606060606060606,1.0,1.0
qa,no_memory,1.0,0.8000000000000002,0.0,0.4,1.8,0.9333333333333333,1.4,0.85,594.0,0.717391304347826,6.0,1.0,1.0
qa,no_mistake,0.6,0.4000000000000001,0.4,0.0,0.6,0.5333333333333333,0.6,0.65,580.0,0.7045454545454546,5.858585858585859,1.0,1.0
qa,no_revision,0.6,0.6000000000000001,0.0,0.8,1.2,0.7333333333333333,0.4000000000000001,0.6,639.0,0.7346938775510204,6.454545454545454,1.0,1.0
qa,no_steps,0.4,1.0000000000000002,0.0,1.0,1.4000000000000001,0.8,0.40000000000000013,0.6,273.0,0.8372093023255814,2.757575757575758,1.0,0.0
sentiment,full,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,594.0,0.717391304347826,3.78343949044586,1.0,1.0
sentiment,no_child,0.8,0.8,0.2,0.0,1.4,0.8,1.4,0.85,501.0,0.7435897435897435,3.1910828025477707,1.0,1.0
sentiment,no_memory,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,594.0,0.717391304347826,3.78343949044586,1.0,1.0
sentiment,no_mistake,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,580.0,0.7045454545454546,3.6942675159235665,1.0,1.0
sentiment,no_revision,0.6,1.0000000000000002,0.0,0.4,1.6,0.8666666666666667,1.2,0.8,639.0,0.7346938775510204,4.070063694267516,1.0,1.0
sentiment,no_steps,0.0,1.0000000000000002,0.0,1.0,1.0000000000000002,0.6666666666666666,2.220446049250313e-16,0.5,273.0,0.8372093023255814,1.7388535031847134,1.0,0.0
